episode,return,length
1249,156.8,511
1250,158.7,569
1251,177.4,524
1252,-152.9,583
1253,-45.4,483
1254,-7.2,272
1255,179.0,584
1256,215.7,515
1257,-87.3,541
1258,46.7,1000
1259,-55.7,252
1260,199.3,741
1261,128.0,649
1262,145.2,717
1263,174.7,675
1264,-113.4,500
1265,-206.3,774
1266,-164.9,857
1267,-81.8,516
1268,47.2,1000
1269,-14.9,1000
1270,53.8,924
1271,136.6,621
1272,-2.4,1000
1273,182.1,759
1274,-95.6,403
1275,167.4,611
1276,191.6,546
1277,-38.4,472
1278,-118.8,582
1279,58.9,1000
1280,-71.7,355
1281,-61.6,328
1282,-123.9,576
1283,188.3,583
1284,-73.5,555
1285,172.3,416
1286,32.0,1000
1287,117.0,816
1288,-65.1,373
1289,-25.2,1000
1290,-66.8,536
1291,214.0,547
1292,-83.9,475
1293,117.2,735
1294,146.2,624
1295,-70.5,495
1296,-217.9,799
1297,32.3,1000
1298,158.5,667
1299,181.0,624
1300,-73.5,553
1301,-37.0,213
1302,197.1,596
1303,44.8,1000
1304,-156.3,796
1305,33.2,1000
1306,159.1,655
1307,148.7,705
1308,-60.3,1000
1309,165.6,635
1310,-65.3,1000
1311,181.4,706
1312,27.9,1000
1313,-128.2,660
1314,88.2,913
1315,-105.3,525
1316,180.5,692
1317,-47.1,406
1318,74.1,789
1319,-49.8,1000
1320,-124.4,519
1321,-49.4,418
1322,126.8,726
1323,48.0,1000
1324,-74.6,365
1325,-46.7,528
1326,103.7,729
1327,157.7,496
1328,-116.9,543
1329,-15.0,1000
1330,-51.4,180
1331,-44.0,1000
1332,-63.5,1000
1333,159.7,556
1334,162.9,511
1335,146.6,671
1336,-59.6,492
1337,-32.0,474
1338,192.3,539
1339,162.2,569
1340,-52.8,404
1341,-74.8,409
1342,163.5,624
1343,-53.0,503
1344,149.5,573
1345,-94.2,1000
1346,188.6,528
1347,200.0,482
1348,150.0,565
1349,162.0,561
1350,-57.7,398
1351,121.3,763
1352,-78.6,444
1353,191.0,495
1354,196.1,529
1355,201.3,477
1356,201.0,494
1357,-65.5,389
1358,-38.2,227
1359,173.9,531
1360,-10.1,410
1361,57.3,1000
1362,186.0,602
1363,175.2,516
1364,174.4,540
1365,193.5,585
1366,212.6,449
1367,206.5,591
1368,171.3,511
1369,-107.9,1000
1370,173.3,489
1371,190.8,552
1372,143.0,662
1373,3.5,1000
1374,-61.7,375
1375,195.8,497
1376,212.0,544
1377,53.6,1000
1378,155.3,573
1379,-52.2,197
1380,166.3,509
1381,-45.1,398
1382,199.3,504
1383,186.2,506
1384,-3.6,1000
1385,-58.9,557
1386,-52.8,236
1387,182.6,468
1388,177.7,634
1389,110.6,796
1390,-33.2,1000
1391,-79.6,337
1392,184.0,493
1393,-88.8,391
1394,195.1,538
1395,174.3,652
1396,192.6,461
1397,-49.3,255
1398,194.9,620
1399,185.7,459
1400,211.4,458
1401,227.9,502
1402,122.4,735
1403,118.2,799
1404,-63.0,447
1405,216.3,450
1406,-49.1,410
1407,-100.0,361
1408,159.7,480
1409,-76.9,354
1410,210.8,458
1411,-37.0,441
1412,138.8,715
1413,218.6,410
1414,-13.1,309
1415,185.4,504
1416,205.0,464
1417,180.3,429
1418,182.5,426
1419,152.7,502
1420,106.4,1000
1421,196.7,409
1422,-68.5,273
1423,227.0,436
1424,205.6,482
1425,-67.3,348
1426,80.9,1000
1427,212.9,438
1428,-54.3,303
1429,193.5,368
1430,-33.3,448
1431,196.1,457
1432,-50.2,263
1433,215.2,398
1434,-62.3,282
1435,223.7,392
1436,175.6,484
1437,225.5,402
1438,214.2,803
1439,160.2,503
1440,-52.3,229
1441,-60.1,347
1442,91.7,1000
1443,-46.2,235
1444,-48.4,365
1445,182.4,403
1446,200.0,338
1447,-1.1,355
1448,-21.3,308
1449,195.5,546
1450,-47.0,199
1451,234.2,370
1452,-19.4,304
1453,223.9,372
1454,-61.8,386
1455,228.2,385
1456,209.9,411
1457,205.4,408
1458,-102.1,415
1459,93.7,1000
1460,228.3,434
1461,172.9,499
1462,234.4,592
1463,117.7,611
1464,-52.6,371
1465,225.8,482
1466,236.0,413
1467,-64.5,401
1468,-58.7,432
1469,217.8,422
1470,-125.0,733
1471,138.4,620
1472,78.3,1000
1473,-23.6,221
1474,-71.7,359
1475,-49.8,327
1476,192.7,475
1477,82.7,1000
1478,200.8,431
1479,-58.8,255
1480,-38.6,373
1481,143.2,417
1482,-100.8,286
1483,193.9,379
1484,-58.6,264
1485,203.5,428
1486,-46.2,332
1487,163.5,437
1488,-88.5,276
1489,120.1,676
1490,54.3,1000
1491,-85.5,475
1492,-63.8,235
1493,239.1,460
1494,172.8,519
1495,-47.1,284
1496,205.2,595
1497,-73.4,277
1498,-59.0,201
1499,197.4,378
1500,-86.9,247
1501,-24.2,316
1502,205.1,438
1503,206.3,439
1504,215.5,402
1505,205.7,697
1506,100.8,1000
1507,175.4,427
1508,228.3,515
1509,-128.7,259
1510,-68.7,414
1511,187.8,508
1512,-47.7,349
1513,-0.1,281
1514,168.6,433
1515,173.6,532
1516,59.1,1000
1517,-78.6,409
1518,215.5,422
1519,166.9,521
1520,196.3,470
1521,-57.5,201
1522,235.3,667
1523,-82.2,429
1524,77.6,1000
1525,201.5,357
1526,-19.5,369
1527,230.0,385
1528,158.5,594
1529,147.5,724
1530,190.7,527
1531,-49.1,230
1532,66.6,1000
1533,-34.1,401
1534,224.3,430
1535,215.1,397
1536,213.7,385
1537,-57.2,302
1538,-43.2,287
1539,-83.0,292
1540,-38.4,360
1541,-31.5,208
1542,168.0,688
1543,42.3,1000
